"Number","DESPC","DESSC","DESWC","DESPL","DESPLd","DESSL","DESSLd","DESWLsy","DESWLsyd","DESWLlt","DESWLltd","PCNARz","PCNARp","PCSYNz","PCSYNp","PCCNCz","PCCNCp","PCREFz","PCREFp","PCDCz","PCDCp","PCVERBz","PCVERBp","PCCONNz","PCCONNp","PCTEMPz","PCTEMPp","CRFNO1","CRFAO1","CRFSO1","CRFNOa","CRFAOa","CRFSOa","CRFCWO1","CRFCWO1d","CRFCWOa","CRFCWOad","LSASS1","LSASS1d","LSASSp","LSASSpd","LSAPP1","LSAPP1d","LSAGN","LSAGNd","LDTTRc","LDTTRa","LDMTLD","LDVOCD","CNCAll","CNCCaus","CNCLogic","CNCADC","CNCTemp","CNCTempx","CNCAdd","CNCPos","CNCNeg","SMCAUSv","SMCAUSvp","SMINTEp","SMCAUSr","SMINTEr","SMCAUSlsa","SMCAUSwn","SMTEMP","SYNLE","SYNNP","SYNMEDpos","SYNMEDwrd","SYNMEDlem","SYNSTRUTa","SYNSTRUTt","DRNP","DRVP","DRAP","DRPP","DRPVAL","DRNEG","DRGERUND","DRINF","WRDNOUN","WRDVERB","WRDADJ","WRDADV","WRDPRO","WRDPRP1s","WRDPRP1p","WRDPRP2","WRDPRP3s","WRDPRP3p","WRDFRQc","WRDFRQa","WRDFRQmc","WRDAOAc","WRDFAMc","WRDCNCc","WRDIMGc","WRDMEAc","WRDPOLc","WRDHYPn","WRDHYPv","WRDHYPnv","RDFRE","RDFKGL","RDL2"
"67","2","7","109","3.5","0.707","15.571","3.69","1.486","0.846","3.991","2.8","1.928","97.26","-0.391","34.83","-2.223","1.32","2.11","98.26","0.673","74.86","0.536","70.19","-2.29","1.1","1.682","95.35","0.167","1","0.333","0.143","0.905","0.286","0.243","0.158","0.255","0.144","0.302","0.061","0.341","0.126","0.534","0","0.325","0.171","0.755","0.569","48.865","42.277","100.917","27.523","64.22","18.349","18.349","0","55.046","0","0","45.872","73.395","18.349","0.5","0","0.135","0.661","1","2","0.448","0.612","0.806","0.766","0.135","0.159","284.404","293.578","36.697","64.22","9.174","9.174","0","27.523","119.266","91.743","119.266","55.046","165.138","146.789","0","0","0","0","2.596","3.075","1.182","323.1","587.143","296.568","344.81","396.462","4.368","5.691","1.358","0.934","65.315","8.017","33.582"
"13","2","9","212","4.5","0.707","23.556","6.254","1.406","0.745","3.887","2.472","2.363","99.09","-1.824","3.44","-1.267","10.38","2.254","98.78","1.885","96.99","0.73","76.42","-3.512","0","0.784","78.23","0.25","1","0.25","0.222","1","0.333","0.262","0.08","0.266","0.072","0.239","0.122","0.222","0.104","0.521","0","0.295","0.135","0.709","0.526","70.427","58.516","117.925","23.585","66.038","23.585","28.302","4.717","61.321","0","0","9.434","28.302","0","1.333","3","0.12","0.591","0.875","1.444","0.483","0.539","0.781","0.77","0.149","0.094","325.472","268.868","94.34","47.17","0","14.151","23.585","14.151","127.359","99.057","84.906","132.075","136.792","113.208","0","0","0","4.717","2.595","3.033","0.788","326.727","588.462","314.238","359.286","405.486","4.847","5.372","1.448","0.992","63.978","10.188","35.41"
"29","2","11","187","5.5","0.707","17","5.837","1.348","0.727","3.818","2.429","2.267","98.81","-1.219","11.31","-1.132","12.92","2.253","98.78","2.305","98.93","1.812","96.49","-3.486","0.03","-0.87","19.22","0.1","1","0.1","0.127","1","0.145","0.258","0.092","0.262","0.077","0.224","0.129","0.258","0.116","0.667","0","0.342","0.127","0.691","0.479","48","44.494","112.299","42.781","58.824","32.086","5.348","16.043","58.824","0","0","26.738","48.128","0","0.667","8","0.142","0.495","0.7","1.091","0.367","0.585","0.794","0.781","0.09","0.088","310.16","315.508","53.476","96.257","0","10.695","5.348","48.128","139.038","90.91","80.214","101.604","149.733","139.037","0","5.348","0","5.348","2.735","3.18","1.768","347.167","596.868","316.646","360.574","430.75","4.98","4.829","1.438","0.951","75.539","6.946","34.694"
"60","2","7","151","3.5","0.707","21.571","4.572","1.411","0.751","4.205","2.507","2.824","99.76","-1.5","6.68","-2.298","1.1","2.298","98.9","0.058","51.99","-0.545","29.46","-3.182","0.07","1.929","97.26","0","1","0","0.143","1","0.19","0.276","0.093","0.28","0.099","0.218","0.14","0.258","0.196","0.49","0","0.305","0.173","0.732","0.546","46.11","47.835","105.96","19.868","59.603","6.623","6.623","6.623","72.848","0","0","19.868","33.113","0","0.5","1","0.062","0.422","1","3.429","0.325","0.583","0.825","0.793","0.064","0.091","324.503","304.636","39.735","79.47","13.245","33.113","6.623","33.113","119.206","99.339","72.848","79.47","158.94","125.828","0","0","0","26.49","2.568","3.129","1.24","361.7","582.26","311","343.58","392.25","3.748","5.714","1.389","0.972","65.57","9.472","30.324"
"27","2","7","103","3.5","0.707","14.714","7.69","1.408","0.785","3.883","2.639","2.71","99.66","-0.444","33","-2.876","0.21","2.319","98.96","0.531","70.19","0.211","58.32","-2.693","0.36","-0.515","30.5","0.167","1","0.167","0.19","1","0.333","0.25","0.095","0.283","0.108","0.302","0.154","0.278","0.156","0.664","0","0.324","0.145","0.75","0.615","59.966","51.344","97.087","29.126","77.67","9.709","0","9.709","58.252","0","0","29.126","48.544","29.126","0.5","0.75","0.217","0.659","0.75","2.143","0.571","0.654","0.86","0.818","0.131","0.148","310.68","262.136","77.67","67.961","0","19.417","9.709","19.417","97.088","67.962","126.213","126.214","194.175","165.049","0","0","0","9.709","2.797","3.073","0.91","225","590.075","287.297","338.225","390.25","4.464","6.022","1.484","0.871","72.784","6.763","38.158"
"18","2","7","119","3.5","0.707","17","5.014","1.571","0.935","4.546","2.905","1.459","92.65","-1.172","12.1","-1.958","2.56","2.373","99.11","-0.499","31.21","0.654","74.22","-3.534","0","0.706","75.8","0.5","1","0.5","0.333","1","0.333","0.314","0.119","0.246","0.103","0.381","0.145","0.34","0.117","0.664","0","0.327","0.164","0.78","0.583","60.79","55.742","109.244","16.807","25.21","42.017","42.017","0","50.42","0","0","33.613","50.42","8.403","0.4","0","0.152","0.616","0.917","1.714","0.516","0.492","0.745","0.706","0.129","0.12","327.731","294.118","25.21","75.63","0","25.21","0","8.403","126.05","67.227","142.857","58.823","134.454","134.454","0","0","0","0","2.479","2.966","1.16","372.75","576.841","292.105","342.636","401.8","4.24","5.801","1.51","0.991","56.673","9.578","34.316"
"41","2","9","58","4.5","0.707","6.444","1.667","1.655","1.001","4.31","2.939","0.826","79.39","0.839","79.67","-1.099","13.79","2.37","99.11","-2.241","1.25","1.587","94.29","-8.675","0","2.036","97.88","0.125","1","0.125","0.028","1","0.028","0.293","0.069","0.254","0.051","0.213","0.14","0.171","0.123","0.388","0","0.236","0.113","0.833","0.638","20.697","0","155.172","0","17.241","0","0","0","155.172","0","0","34.483","34.483","51.724","0","0","0.175","0.686","1","1","0.357","0.402","0.632","0.632","0.504","0.434","258.621","241.379","68.966","17.241","0","0","0","17.241","120.69","68.965","224.138","68.966","172.414","172.414","0","0","0","0","2.409","2.9","0.867","348.429","581.52","309.5","366.68","392.294","4.299","6.893","1.464","0.982","60.281","6.452","54.663"
"16","2","10","152","5","2.828","15.2","6.501","1.296","0.618","3.711","2.133","2.415","99.2","-0.852","19.77","-0.135","44.83","2.385","99.13","0.919","81.86","1.753","95.99","-4.647","0","0.995","83.89","0","1","0","0.222","1","0.222","0.253","0.101","0.263","0.076","0.3","0.152","0.293","0.14","0.645","0","0.329","0.155","0.729","0.539","51.91","44.055","131.579","26.316","46.053","6.579","19.737","6.579","92.105","0","0","26.316","39.474","6.579","0.4","2","0.107","0.637","0.944","1.4","0.279","0.621","0.782","0.769","0.094","0.115","296.053","381.579","26.316","65.789","0","13.158","26.316","39.474","157.895","111.843","85.526","65.789","144.737","131.579","0","6.579","0","6.579","2.86","3.209","1.71","325.643","594.149","336.971","373.014","437.41","5.957","6.311","1.611","1.346","81.765","5.631","37.443"
"5","2","9","84","4.5","0.707","9.333","5.59","1.476","0.768","4.036","2.709","1.911","97.19","-1.106","13.57","-1.832","3.36","2.397","99.16","-0.996","16.11","2.456","99.29","-0.949","17.36","1.595","94.41","0","1","0.125","0.028","1","0.083","0.293","0.096","0.26","0.096","0.238","0.115","0.265","0.094","0.494","0","0.283","0.123","0.851","0.655","43.374","0","71.429","23.81","23.81","11.905","11.905","0","35.714","0","0","23.81","35.714","23.81","0.333","0.667","0.223","0.536","1","2.333","0.56","0.523","0.73","0.73","0.293","0.226","321.429","285.714","35.714","71.429","0","0","0","35.714","142.858","59.524","119.048","83.334","178.571","178.571","0","0","0","0","2.867","3.19","1.496","332.429","594.676","342.581","361.514","421.636","4.385","5.481","1.377","0.958","72.492","5.467","51.887"
"54","2","9","173","4.5","2.121","19.222","12.892","1.353","0.654","3.786","2.317","2.409","99.18","-2.165","1.54","-0.824","20.61","2.454","99.29","2.933","99.83","0.038","51.2","-0.201","42.07","1.84","96.71","0.625","1","0.625","0.5","1","0.583","0.276","0.136","0.285","0.151","0.274","0.111","0.337","0.22","0.609","0","0.374","0.177","0.713","0.566","61.997","67.311","115.607","40.462","57.803","11.561","34.682","11.561","28.902","0","0","17.341","52.023","0","1.5","4","0.077","0.638","1","6.333","0.413","0.667","0.852","0.841","0.07","0.088","439.306","179.191","40.462","86.705","0","5.78","0","5.78","202.312","80.925","98.266","86.705","184.971","150.289","5.78","0","0","28.902","2.466","2.973","1.083","271.5","582.338","321.597","366.838","420.216","4.593","6.267","1.681","1.399","72.861","7.872","28.433"
"59","2","9","227","4.5","0.707","25.222","12.031","1.374","0.762","4.172","2.573","2.157","98.42","-1.758","4.01","-1.262","10.38","2.464","99.31","0.875","80.78","0.634","73.57","-0.776","22.06","-1.249","10.75","0.75","1","0.75","0.444","1","0.528","0.268","0.107","0.255","0.088","0.349","0.093","0.305","0.136","0.526","0","0.336","0.138","0.67","0.509","73.865","71.291","92.511","26.432","48.458","22.026","26.432","8.811","30.837","0","0","17.621","39.648","13.216","1","0.5","0.144","0.637","0.75","5.556","0.477","0.682","0.845","0.813","0.077","0.062","365.639","290.749","39.648","66.079","4.405","4.405","17.621","17.621","185.022","101.321","57.269","74.89","158.59","149.78","0","0","0","0","2.684","3.06","1.59","394.286","584.958","324.769","370.989","409.806","5.041","6.395","1.419","1.444","64.994","10.46","33.292"
"73","2","11","188","5.5","0.707","17.091","7.564","1.324","0.659","3.867","2.282","2.488","99.34","-1.133","12.92","0.053","51.99","2.617","99.55","0.42","66.28","0.723","76.42","-1.587","5.71","-1.045","14.92","0.3","1","0.3","0.255","1","0.309","0.262","0.082","0.261","0.098","0.274","0.137","0.282","0.152","0.532","0","0.342","0.126","0.714","0.526","55.376","49.796","74.468","31.915","42.553","21.277","15.957","21.277","37.234","0","0","26.596","58.511","10.638","1","0.333","0.111","0.606","0.75","1.182","0.518","0.587","0.811","0.806","0.121","0.124","351.064","271.277","21.277","111.702","0","10.638","21.277","31.915","164.894","90.426","69.149","58.511","180.851","143.617","0","0","5.319","21.277","2.706","3.146","1.308","281.538","599.929","350.864","397.886","456.369","4.559","5.811","1.494","1.217","77.477","6.699","36.165"
"51","2","7","145","3.5","0.707","20.714","8.159","1.366","0.715","3.938","2.31","2.812","99.75","-1.607","5.48","-1.992","2.33","2.699","99.64","0.172","56.75","-0.063","47.61","-3.426","0.03","1.835","96.64","0.167","1","0.333","0.333","1","0.476","0.292","0.073","0.294","0.076","0.398","0.04","0.38","0.058","0.655","0","0.347","0.159","0.627","0.53","65.631","55.242","110.345","20.69","48.276","6.897","20.69","20.69","68.966","0","0","20.69","20.69","0","0","3","0.135","0.437","1","1.286","0.486","0.613","0.812","0.812","0.073","0.091","344.828","248.276","75.862","89.655","6.897","34.483","0","13.793","124.138","62.069","68.966","144.828","172.414","151.724","0","13.793","0","0","2.725","3.202","0.945","330.667","588.214","324.313","358.464","412.22","3.714","6.154","1.402","0.974","70.247","8.607","35.201"
"23","2","10","87","5","0","8.7","2.86","1.391","0.721","3.839","2.71","3.325","99.95","0.337","62.93","-3.479","0.03","2.779","99.72","-1.213","11.31","0.063","52.39","-0.225","41.29","-0.453","32.64","0","1","0","0.044","1","0.044","0.259","0.045","0.276","0.084","0.3","0.128","0.303","0.131","0.58","0","0.325","0.142","0.8","0.659","42.794","0","57.471","11.494","34.483","11.494","11.494","0","22.989","0","0","57.471","68.966","34.483","0.167","0","0.136","0.632","0.778","1.6","0.192","0.55","0.798","0.798","0.279","0.24","333.333","310.345","80.46","45.977","0","34.483","22.989","34.483","137.931","103.448","68.966","137.931","206.897","206.897","0","0","0","0","2.888","3.108","1.628","305","592.026","299.361","332.789","389.314","4.469","4.606","1.685","0.977","80.326","4.217","49.726"
"69","2","10","94","5","1.414","9.4","4.3","1.468","0.743","3.904","2.239","2.098","98.17","-0.035","48.8","-2.104","1.79","2.784","99.73","0.573","71.57","1.625","94.74","-1.486","6.94","0.747","77.04","0","1","0","0.044","1","0.044","0.314","0.114","0.292","0.092","0.342","0.135","0.309","0.101","0.454","0","0.315","0.132","0.706","0.596","34.082","0","95.745","31.915","53.191","10.638","21.277","10.638","42.553","0","0","42.553","63.83","21.277","0.4","0.667","0.223","0.699","0.889","1.3","0.286","0.547","0.734","0.734","0.268","0.226","372.34","212.766","74.468","95.745","0","0","0","21.277","127.659","53.191","117.021","127.659","180.851","180.851","0","0","0","0","2.644","3.001","1.555","344","596.465","311.395","370.186","417","4.449","6.123","1.416","0.925","73.101","5.398","46.515"
"46","2","3","41","1.5","0.707","13.667","4.583","1.39","0.586","3.61","2.428","2.371","99.11","-1.416","7.93","0.456","67.36","2.812","99.75","-1.046","14.92","-0.178","43.25","-3.495","0.02","1.151","87.49","0.5","1","0.5","0.333","1","0.333","0.373","0.022","0.332","0.073","0.231","0.005","0.227","0","0.166","0","0.153","0.132","0.895","0.69","42","0","97.561","0","48.78","0","24.39","24.39","73.171","0","0","48.78","48.78","24.39","0","0","0.15","0.317","1","1.333","0.769","0.652","0.739","0.739","0.165","0.127","317.073","243.902","73.171","73.171","0","24.39","0","24.39","170.732","48.78","97.561","97.561","170.732","170.732","0","0","0","0","2.383","3.081","0.47","281","585.313","369.091","398.875","471","3","6.607","0.752","1.128","75.369","6.142","37.483"
"74","2","7","181","3.5","0.707","25.857","10.149","1.287","0.663","3.63","2.087","2.971","99.85","-1.91","2.81","-2.429","0.75","2.85","99.77","0.999","83.89","0.989","83.65","-1.121","13.14","0.776","77.94","0.333","1","0.333","0.19","1","0.238","0.305","0.062","0.263","0.077","0.311","0.166","0.244","0.077","0.627","0","0.323","0.159","0.655","0.484","46.622","46.5","99.448","5.525","82.873","22.099","27.624","16.575","33.149","0","0","5.525","11.05","0","0.5","1","0.13","0.488","0.917","5.286","0.476","0.579","0.753","0.743","0.096","0.05","298.343","325.967","82.873","49.724","5.525","5.525","5.525","44.199","104.972","110.498","55.249","110.497","154.696","116.022","0","0","0","27.624","2.843","3.21","2.11","329.1","585.968","291.258","331.016","392.648","4.777","6.068","1.505","1.006","71.71","9.681","39.913"
"10","2","2","26","1","0","13","2.828","1.885","0.993","5.808","2.871","-0.272","39.36","-2.021","2.17","-0.009","49.6","3.01","99.87","-2.625","0.44","4.705","100","-1.041","14.92","1.262","89.62","0","1","1","0","1","1","0.105","0","0.105","0","0.282","0","0","0","0.282","0","0.124","0.175","1","0.846","47.32","0","38.462","0","0","0","0","0","38.462","0","0","38.462","38.462","38.462","0","0","0.07","0.95","1","5","0.833","0","0","0","0.13","0.13","307.692","269.231","115.385","0","0","0","115.385","0","153.847","153.847","230.769","115.385","76.923","76.923","0","0","0","0","2.323","2.805","1.64","313.75","580.769","314.364","369.615","429.25","7.188","4.975","1.305","0.948","34.169","11.723","20.012"
"7","2","11","74","5.5","0.707","6.727","3.673","1.284","0.693","3.541","2.511","3.21","99.93","0.129","54.78","-1.335","9.18","3.048","99.88","-1.602","5.48","1.548","93.82","1.905","97.13","-0.459","32.28","0","1","0","0.073","1","0.091","0.326","0.071","0.347","0.098","0.203","0.163","0.227","0.156","0.371","0","0.274","0.111","0.85","0.618","29.194","0","40.541","0","0","0","40.541","0","0","0","0","54.054","54.054","67.568","0","0","0.122","0.681","0.85","1","0.231","0.61","0.752","0.752","0.326","0.301","418.919","297.297","54.054","81.081","0","27.027","27.027","13.514","162.162","81.081","81.081","94.595","202.703","202.703","0","0","0","0","2.815","3.232","1.781","280.375","593.3","335.5","378.967","437.75","5.365","5.475","1.746","1.204","91.381","2.185","54.491"
"43","2","6","119","3","0","19.833","5.154","1.437","0.721","4.05","2.393","2.715","99.66","-1.168","12.3","-2.523","0.59","3.452","99.97","2.291","98.9","0.991","83.89","-0.852","19.77","2.052","97.98","0.2","1","0.2","0.067","1","0.067","0.351","0.105","0.331","0.113","0.373","0.156","0.332","0.172","0.485","0","0.3","0.157","0.683","0.521","44.997","36.941","117.647","42.017","75.63","0","33.613","0","42.017","0","0","33.613","75.63","8.403","1","0","0.17","0.701","1","1.5","0.226","0.374","0.642","0.642","0.231","0.164","302.521","260.504","67.227","100.84","0","16.807","0","33.613","92.437","126.051","100.84","134.454","159.664","151.261","0","0","0","0","2.71","3.107","0","336.5","591.273","281.103","326.977","400.026","5.046","5.574","1.437","0.764","65.134","9.101","47.646"
"24","2","25","85","12.5","0.707","3.4","0.816","1.506","0.983","3.624","3.117","1.678","95.25","1.378","91.47","-4.709","0","4.445","100","-3.356","0.04","3.025","99.87","2.099","98.17","0.52","69.85","0","1","0","0","1","0","0.473","0.086","0.459","0.081","0.268","0.135","0.243","0.14","0.757","0","0.326","0.098","0.68","0.471","12.143","0","0","0","0","0","0","0","0","0","0","47.059","47.059","35.294","0","0","0.425","0.603","0.875","1","0.033","0.342","0.508","0.508","0.725","0.694","352.941","352.941","23.529","23.529","0","11.765","23.529","11.765","70.589","35.294","211.765","47.059","294.118","294.118","0","0","0","0","2.729","2.905","1.404","458","584.237","297.563","359","398.219","4.264","7.692","1.142","0.71","75.976","3.507","84.715"
"26","2","3","35","1.5","0.707","11.667","13.892","1.514","0.951","3.829","3.374","2.139","98.34","-2.136","1.66","-4.101","0","3.51","100","-3.5","0","4.563","100","2.441","99.27","1.614","94.63","0","1","0","0","1","0","0.4","0","0.394","0.011","0.367","0.348","0.121","0","0.471","0","0.19","0.227","0.762","0.556","15.222","0","0","0","0","0","0","28.571","0","0","0","0","0","0","0","0","0.333","0.767","1","1","0.417","0.25","0.75","0.75","0.337","0.258","400","314.286","28.571","28.571","0","0","57.143","0","114.285","85.714","171.429","28.571","257.143","257.143","0","0","0","0","2.884","3.188","1.09","366","596.692","285.077","326.385","381.455","5.632","6.125","1.09","0.989","66.909","6.825","60.564"
"37","2","2","39","1","0","19.5","6.364","1.667","0.982","4.308","3.427","1.082","85.99","-4.225","0","-3.825","0","4.65","100","-4.39","0","7.684","100","1.427","92.22","2.133","98.34","0","1","0","0","1","0","0.36","0","0.36","0","0.171","0","0","0","0.171","0","0.085","0.12","0.792","0.615","17.356","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.56","0.833","1","3","0.364","0","0","0","0.069","0.069","307.692","307.692","0","0","0","0","0","0","51.282","51.282","282.051","25.641","230.769","230.769","0","0","0","0","2.725","2.966","0","0","578.556","250.25","317.722","353.455","5.023","6.2","1.018","0.56","46.014","11.686","38.499"
