"Number","DESPC","DESSC","DESWC","DESPL","DESPLd","DESSL","DESSLd","DESWLsy","DESWLsyd","DESWLlt","DESWLltd","PCNARz","PCNARp","PCSYNz","PCSYNp","PCCNCz","PCCNCp","PCREFz","PCREFp","PCDCz","PCDCp","PCVERBz","PCVERBp","PCCONNz","PCCONNp","PCTEMPz","PCTEMPp","CRFNO1","CRFAO1","CRFSO1","CRFNOa","CRFAOa","CRFSOa","CRFCWO1","CRFCWO1d","CRFCWOa","CRFCWOad","LSASS1","LSASS1d","LSASSp","LSASSpd","LSAPP1","LSAPP1d","LSAGN","LSAGNd","LDTTRc","LDTTRa","LDMTLD","LDVOCD","CNCAll","CNCCaus","CNCLogic","CNCADC","CNCTemp","CNCTempx","CNCAdd","CNCPos","CNCNeg","SMCAUSv","SMCAUSvp","SMINTEp","SMCAUSr","SMINTEr","SMCAUSlsa","SMCAUSwn","SMTEMP","SYNLE","SYNNP","SYNMEDpos","SYNMEDwrd","SYNMEDlem","SYNSTRUTa","SYNSTRUTt","DRNP","DRVP","DRAP","DRPP","DRPVAL","DRNEG","DRGERUND","DRINF","WRDNOUN","WRDVERB","WRDADJ","WRDADV","WRDPRO","WRDPRP1s","WRDPRP1p","WRDPRP2","WRDPRP3s","WRDPRP3p","WRDFRQc","WRDFRQa","WRDFRQmc","WRDAOAc","WRDFAMc","WRDCNCc","WRDIMGc","WRDMEAc","WRDPOLc","WRDHYPn","WRDHYPv","WRDHYPnv","RDFRE","RDFKGL","RDL2"
"12","2","14","189","7","1.414","13.5","6.88","1.339","0.585","3.772","2.051","2.391","99.16","-0.328","37.45","-2.257","1.22","1.679","95.25","1.638","94.84","0.982","83.65","-2.406","0.82","1.343","90.99","0","1","0.077","0.129","1","0.153","0.204","0.066","0.224","0.074","0.23","0.138","0.255","0.113","0.58","0","0.329","0.119","0.667","0.526","59.634","55.38","116.402","42.328","58.201","10.582","21.164","26.455","58.201","0","0","21.164","42.328","31.746","0.8","0.857","0.141","0.633","0.962","2.071","0.4","0.66","0.858","0.846","0.123","0.143","317.46","301.587","58.201","63.492","5.291","21.164","15.873","37.037","132.275","116.402","111.111","95.238","137.566","121.693","0","0","0","5.291","2.836","3.143","1.45","334","589.742","299.329","335.461","410.162","5.266","5.397","1.358","0.986","79.853","5.475","36.148"
"62","2","5","75","2.5","0.707","15","4.301","1.333","0.723","3.867","2.575","2.236","98.71","-1.311","9.51","-0.124","45.22","1.825","96.56","0.405","65.54","0.584","71.9","-3.56","0","0.255","59.87","0.25","1","0.25","0.1","1","0.3","0.261","0.075","0.237","0.06","0.197","0.069","0.176","0.106","0.302","0","0.205","0.123","0.944","0.693","66.918","0","133.333","13.333","53.333","13.333","40","13.333","80","0","0","13.333","13.333","26.667","0","0.333","0.037","0.795","0.875","2.6","0.5","0.621","0.861","0.861","0.155","0.111","386.667","253.333","0","93.333","0","0","0","26.667","146.667","93.333","80","53.333","173.333","146.667","0","0","0","0","2.392","3.134","1.123","335.6","581.731","329.769","371.808","395.636","4.716","6.979","1.687","1.302","78.838","5.989","31.22"
"17","2","14","271","7","1.414","19.357","6.454","1.299","0.68","3.742","2.298","2.87","99.79","-1.559","6.06","-0.511","30.5","1.854","96.78","0.522","69.85","-0.111","45.62","-4.534","0","1.223","88.88","0.077","1","0.077","0.165","0.906","0.212","0.222","0.098","0.234","0.117","0.209","0.115","0.213","0.124","0.614","0","0.333","0.131","0.705","0.456","57.813","54.264","129.151","22.14","44.28","22.14","25.83","3.69","77.491","0","0","18.45","33.21","7.38","0.667","1.333","0.066","0.321","0.962","2.143","0.394","0.618","0.844","0.832","0.067","0.069","313.653","298.893","44.28","59.041","0","22.14","11.07","25.83","121.771","95.941","81.181","99.631","177.122","140.221","0","3.69","0","11.07","2.686","3.152","1.243","326.708","591.902","332.948","375.451","440.28","4.325","5.706","1.26","0.967","77.292","7.287","30.315"
"38","2","22","297","11","0","13.5","7.443","1.35","0.667","3.852","2.32","2.288","98.87","-0.483","31.56","-1.016","15.62","1.901","97.13","1.153","87.49","0.956","82.89","-2.219","1.36","1.152","87.49","0.048","0.905","0.048","0.085","0.897","0.091","0.254","0.149","0.239","0.125","0.25","0.128","0.235","0.142","0.69","0","0.332","0.114","0.684","0.452","40.813","47.279","114.478","37.037","43.771","6.734","23.569","23.569","57.239","0","0","47.138","57.239","10.101","0.2","2.75","0.119","0.57","0.952","1.909","0.439","0.648","0.808","0.781","0.187","0.145","356.902","279.461","57.239","70.707","0","10.101","6.734","40.404","138.047","90.909","94.276","87.542","181.818","175.084","0","3.367","0","0","2.643","3.112","1.427","324.762","591.874","323.419","369.597","441.563","4.628","5.954","1.543","1.09","78.923","5.605","38.387"
"58","2","10","206","5","2.828","20.6","11.945","1.316","0.714","3.578","2.126","2.194","98.57","-1.209","11.51","-1.698","4.55","1.986","97.61","1.359","91.15","0.973","83.4","-2.811","0.25","1.04","84.85","0.222","0.889","0.333","0.267","0.844","0.289","0.274","0.134","0.24","0.111","0.307","0.227","0.293","0.221","0.5","0","0.367","0.158","0.719","0.469","55.169","55.595","106.796","29.126","63.107","33.981","29.126","9.709","48.544","0","0","24.272","53.398","9.709","1","1","0.103","0.551","0.944","3.5","0.537","0.607","0.851","0.828","0.108","0.107","339.806","237.864","33.981","87.379","0","24.272","4.854","29.126","140.776","63.106","101.942","72.815","145.631","131.068","0","0","0","0","2.76","3.184","1.22","368.9","593.613","306.694","345.107","423.406","4.991","6.609","1.37","1.147","74.592","7.973","37.186"
"48","2","9","60","4.5","0.707","6.667","4.236","1.5","0.873","3.95","2.734","2.079","98.08","0.344","63.31","-1.469","7.08","2.005","97.72","-1.615","5.37","-0.429","33.72","0.03","51.2","-0.4","34.46","0","1","0","0","1","0","0.29","0.083","0.287","0.068","0.079","0.096","0.083","0.083","0.28","0","0.157","0.098","1","0.705","48.04","0","50","16.667","16.667","0","0","0","16.667","0","0","66.667","66.667","33.333","0","0.333","0.199","0.347","0.813","1","0.133","0.563","0.721","0.667","0.308","0.314","250","383.333","66.667","66.667","16.667","16.667","0","33.333","100","100","116.667","116.667","183.333","166.667","0","16.667","0","0","2.174","2.798","0.965","328.2","584.765","339.214","383","458.462","3.319","6.819","1.348","0.964","73.168","4.71","37.276"
"39","2","9","160","4.5","0.707","17.778","9.36","1.413","0.78","4.113","2.815","2.235","98.71","-1.548","6.18","-0.727","23.58","2.014","97.78","-0.062","47.61","0.661","74.54","-3.153","0.08","1.513","93.45","0.125","1","0.125","0.167","1","0.25","0.271","0.093","0.243","0.077","0.207","0.162","0.178","0.161","0.624","0","0.298","0.137","0.75","0.553","56.484","48.459","125","12.5","25","12.5","43.75","6.25","68.75","0","0","25","31.25","6.25","0.2","1","0.083","0.571","1","3.444","0.61","0.598","0.77","0.77","0.16","0.122","281.25","325","37.5","56.25","0","6.25","6.25","43.75","131.25","131.25","93.75","68.75","162.5","137.5","0","0","0","12.5","2.555","3.052","1.065","303.818","590.473","321.347","351.909","410.268","4.132","5.237","1.725","1.048","69.251","8.017","35.671"
"45","2","5","61","2.5","0.707","12.2","6.797","1.361","0.708","3.689","2.419","2.787","99.73","-0.763","22.36","-0.889","18.94","2.034","97.88","-0.444","33","0.168","56.36","-1.988","2.39","1.542","93.82","0","1","0.25","0.1","1","0.2","0.266","0.099","0.279","0.094","0.244","0.17","0.304","0.213","0.309","0","0.245","0.157","0.879","0.705","50.531","0","81.967","32.787","16.393","16.393","16.393","0","49.18","0","0","32.787","49.18","16.393","0.333","1","0.068","0.556","1","1","0.55","0.73","0.892","0.892","0.135","0.189","393.443","245.902","49.18","81.967","0","16.393","0","32.787","180.328","114.754","49.18","81.967","180.328","180.328","0","0","0","0","2.57","3.031","1.603","319","590.6","340","374.4","424.474","4.791","6.553","1.606","1.411","79.311","5.228","34.211"
"72","2","21","285","10.5","2.121","13.571","4.434","1.421","0.754","4.035","2.567","2.41","99.18","-0.223","41.29","-1.772","3.84","2.107","98.21","0.15","55.57","1.324","90.66","-4.845","0","1.257","89.44","0.1","0.95","0.15","0.084","0.935","0.09","0.237","0.116","0.237","0.102","0.235","0.124","0.24","0.137","0.741","0","0.343","0.114","0.65","0.453","44.537","43.264","126.316","28.07","49.123","14.035","10.526","24.561","91.228","0","0","38.596","45.614","28.07","0.167","0.889","0.154","0.666","0.95","1.286","0.378","0.6","0.797","0.778","0.113","0.126","329.825","277.193","38.596","70.175","7.018","14.035","45.614","24.561","133.334","108.772","94.737","101.754","168.421","164.912","0","0","0","3.509","2.769","3.181","1.562","289.316","592.649","305.183","342.737","405.561","4.777","4.953","1.481","0.949","72.844","6.47","35.756"
"35","2","10","84","5","1.414","8.4","3.471","1.5","0.814","4.048","2.883","1.865","96.86","-0.805","21.19","-2.66","0.39","2.111","98.26","-0.179","43.25","2.703","99.65","-2.874","0.21","2.14","98.34","0","1","0","0","1","0","0.23","0.055","0.242","0.073","0.243","0.06","0.25","0.072","0.644","0","0.291","0.124","0.765","0.631","41.88","0","107.143","23.81","35.714","0","23.81","11.905","71.429","0","0","0","0","0","0","2","0.231","0.756","1","1.1","0.269","0.54","0.739","0.739","0.194","0.241","321.429","261.905","47.619","59.524","0","23.81","23.81","0","154.762","83.335","130.952","95.238","190.476","166.667","0","0","0","0","2.763","3.094","1.203","346.5","583.59","304.688","350.231","384","5.146","5.251","1.222","1.012","71.409","5.386","40.217"
